route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
05C,MTC,,,,3,,,
05CGS,MTC,,,,3,,,
07E,MTC,,,,3,,,
07HET,MTC,,,,3,,,
08C,MTC,,,,3,,,
101NS,MTC,,,,3,,,
10A,MTC,,,,3,,,
10E,MTC,,,,3,,,
11,MTC,,,,3,,,
114A,MTC,,,,3,,,
114CCT,MTC,,,,3,,,
114CTN,MTC,,,,3,,,
114CU,MTC,,,,3,,,
114E,MTC,,,,3,,,
114P,MTC,,,,3,,,
114SN,MTC,,,,3,,,
116,MTC,,,,3,,,
116GS,MTC,,,,3,,,
116L,MTC,,,,3,,,
118,MTC,,,,3,,,
118ET,MTC,,,,3,,,
118P,MTC,,,,3,,,
119,MTC,,,,3,,,
119B,MTC,,,,3,,,
119G,MTC,,,,3,,,
119S,MTC,,,,3,,,
119T,MTC,,,,3,,,
11ACT,MTC,,,,3,,,
11AET,MTC,,,,3,,,
11G,MTC,,,,3,,,
11GGSE,MTC,,,,3,,,
11GS,MTC,,,,3,,,
11H,MTC,,,,3,,,
11HGS,MTC,,,,3,,,
12,MTC,,,,3,,,
120A,MTC,,,,3,,,
120E,MTC,,,,3,,,
120F,MTC,,,,3,,,
120K,MTC,,,,3,,,
120KET,MTC,,,,3,,,
121A,MTC,,,,3,,,
121AN,MTC,,,,3,,,
121B,MTC,,,,3,,,
121C,MTC,,,,3,,,
121D,MTC,,,,3,,,
121DNH,MTC,,,,3,,,
121E,MTC,,,,3,,,
121G,MTC,,,,3,,,
127B,MTC,,,,3,,,
129C,MTC,,,,3,,,
12BET,MTC,,,,3,,,
12BGS,MTC,,,,3,,,
12C,MTC,,,,3,,,
12G,MTC,,,,3,,,
12GGS,MTC,,,,3,,,
13,MTC,,,,3,,,
138,MTC,,,,3,,,
138C,MTC,,,,3,,,
13B,MTC,,,,3,,,
13GS,MTC,,,,3,,,
142,MTC,,,,3,,,
142B,MTC,,,,3,,,
142P,MTC,,,,3,,,
147A,MTC,,,,3,,,
147B,MTC,,,,3,,,
147BGS,MTC,,,,3,,,
147CET,MTC,,,,3,,,
14M,MTC,,,,3,,,
14MET,MTC,,,,3,,,
14MGS,MTC,,,,3,,,
15,MTC,,,,3,,,
150,MTC,,,,3,,,
153C,MTC,,,,3,,,
153K,MTC,,,,3,,,
154,MTC,,,,3,,,
154B,MTC,,,,3,,,
154GS,MTC,,,,3,,,
154P,MTC,,,,3,,,
