MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Ganeshamurthi,Elected,18-May-09,In office,Tamil Nadu,Erode,Marumalarchi Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",66,30,0,418,71%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
A.K.S. Vijayan,Elected,18-May-09,In office,Tamil Nadu,Nagapattinam,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Madras University, Chennai, Tamil Nadu",52,31,0,440,57%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
A.T. Nana Patil,Elected,18-May-09,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,M.Com (2nd Year Appearing),52,69,10,641,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Abdul Mannan Hossain,Elected,18-May-09,In office,West Bengal,Murshidabad,Indian National Congress,Male,Graduate,B.A.; Educated at R.K.N.College,61,0,0,0,59%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Abdul Rahman,Elected,18-May-09,In office,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",54,37,0,583,68%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Abhijit Mukherjee,Elected,13-Oct-12,In office,West Bengal,Jangipur,Indian National Congress,Male,Graduate,"B.E. (Mech.), F.I.E./Chartered Engineer
Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata",54,3,0,22,98%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),9.1,0.2,85,76%,9.5,0.1,43,72%
Abu Hasem Khan Choudhury,Elected,18-May-09,In office,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,,76,3,0,8,77%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,34,0.7,132,72%
Adagooru H Vishwanath,Elected,18-May-09,In office,Karnataka,Mysore,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",64,2,0,344,61%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Adhi Sankar,Elected,18-May-09,In office,Tamil Nadu,Kallakurichi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",56,12,0,178,58%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Adhir Ranjan Chowdhury,Elected,18-May-09,In office,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",57,88,18,309,82%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,34,0.7,132,72%
Agatha K. Sangma,Elected,18-May-09,In office,Meghalaya,Tura,Nationalist Congress Party,Female,Post Graduate,M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws,33,0,0,0,49%,"This MP was a Minister. She tendered her resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012.  (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,1.5,0,14,67%
Ajay Kumar,Elected,1-Aug-11,In office,Jharkhand,Jamshedpur,Jharkhand Vikas Morcha (Prajatantrik),Male,Professional Graduate,"MBBS, IPS",51,55,3,192,76%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),22,0.4,182,76%,26.5,0.6,142,66%
