MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Anwhar Raajhaa,Elected,18-May-14,In office,First,External Affairs,Tamil Nadu,Ramanthapuram,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.Sc.,67,27,0,107,75%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
A. Arunmozhithevan,Elected,18-May-14,In office,First,Coal & Steel,Tamil Nadu,Cuddalore,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., B.L.",48,28,0,361,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
A.P. Jithender Reddy,Elected,18-May-14,In office,Second,Defence,Telangana,Mahabubnagar,Telangana Rashtra Samithi,Male,Graduate,"Educated at Osmania University, Hyderabad (Telangana)",62,58,2,62,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
A.T. Nana Patil,Elected,18-May-14,In office,Second,Petroleum & Natural Gas and Railways,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Post Graduate,M.Com.,55,59,11,347,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Abhijit Mukherjee,Elected,18-May-14,In office,Second,Water Resources ,West Bengal,Jangipur,Indian National Congress,Male,Professional Graduate,"B.E. (Mech.), F.I.E./Chartered Engineer
Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata",57,27,0,143,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Abhishek Banerjee,Elected,18-May-14,In office,First,Commerce,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Post Graduate,Post Graduate,29,3,0,45,35%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Abhishek Singh,Elected,18-May-14,In office,First,Information Technology,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Professional Post Graduate,"Engg. (Mech.), M.B.A.",36,10,0,225,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Abu Hasem Khan Choudhury,Elected,18-May-14,In office,Third,"Personnel, Public Grievances, Law and Justice",West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,"Graduate (Degree in Industrial Psychology)
Educated at Northampton College of Technology, England and University of Guleph, Ontario, Canada",79,1,0,0,75%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Adhikari Deepak (Dev),Elected,18-May-14,In office,First,Defence,West Bengal,Ghatal,All India Trinamool Congress,Male,Graduate,Computer Engineer,34,1,0,0,8%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Adhir Ranjan Chowdhury,Elected,18-May-14,In office,Fourth,Home Affairs,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",60,82,5,147,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Ajay Misra Teni,Elected,18-May-14,In office,First,Rural Development ,Uttar Pradesh,Kheri,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B.",56,174,4,283,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Ajay Nishad,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Muzaffarpur,Bharatiya Janata Party,Male,Graduate,Graduate,50,16,0,156,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Ajay Tamta,Elected,18-May-14,In office,First,No,Uttarakhand,Almora,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter (Science),44,16,0,69,94%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,27.6,3.2,71,90%
Akshay Yadav,Elected,18-May-14,In office,First,Health and Family Welfare,Uttar Pradesh,Firozabad,Samajwadi Party,Male,Professional Graduate,B.B.A.,30,10,0,1,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Alok Sanjar,Elected,18-May-14,In office,First,Urban Development,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",53,92,3,259,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Amarinder Singh,Elected,18-May-14,23/11/2016,Second,Defence,Punjab,Amritsar,Indian National Congress,Male,Graduate,Graduate,75,4,0,18,6%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),41.8,1.2,160,81%,31.7,0.3,71,66%
