MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Elavarasan,Elected,25-Jul-07,24/07/2013,First Term,No,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,Information not available,60,38,0,574,84%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),33.8,1,260,78%,44.3,0.7,299,75%
A. Navaneethakrishnan,Elected,30-Jun-16,In office,Second Term,Finance,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., B.L. educated at A.V.V.M. Sri Pushpam College, Poondi, Dist. Thanjavur, Tamil Nadu and Law College, Chennai",61,87,0,0,83%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.2,0.8,163,78%,68.2,0.6,248,75%
A. Vijayakumar,Elected,30-Jun-16,In office,First Term,Petroleum & Natural Gas,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.L., B.A.  from Madurai Kamarajar University",60,3,0,20,77%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,16.9,0.2,61,75%
A. Vijayaraghavan,Elected,3-Apr-04,02/04/2010,Second Term,No,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode ",60,12,0,82,74%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),8.3,0.2,62,78%,8.8,0,88,71%
A. W. Rabi Bernard,Elected,19-Jul-11,29/06/2016,First Term,Agriculture,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Edit the detail,67,21,0,227,77%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.8,1,280,78%,80,0.9,388,75%
A.A. Jinnah,Elected,3-Apr-08,02/04/2014,First Term,No,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Law College, Chennai (Tamil Nadu) ",76,16,0,205,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,52.3,0.7,339,75%
A.K. Antony,Elected,3-Apr-16,In office,Fifth Term,Railways ,Kerala,,Indian National Congress,Male,Professional Graduate,"B.A., B.L. Educated at University of Kerala ",76,9,0,0,75%,"This MP has been re-elected/nominated. The previous term ended on 2nd Apr, 2016. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",77.1,1.6,392,78%,116.5,1.3,563,71%
A.K. Selvaraj,Elected,3-Apr-14,In office,First Term,Rural Development ,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Geography) Educated at Government Arts College, Madras University, Coimbatore, Tamil Nadu",58,29,0,421,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,68.4,0.6,248,75%
A.U. Singh Deo,Elected,3-Apr-14,In office,Second Term,Defence,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. Educated at Lucknow University, Lucknow (Uttar Pradesh)",71,38,0,314,73%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,47.9,0.2,215,77%
A.V. Swamy,Elected,4-Apr-12,In office,First Term,Water Resources ,Odisha,,Independent,Male,Professional Graduate,"B.Sc. (Hons.), B.Sc. (Tech.), LL.B., Certificate in Aid Administration Educated at Ravenshaw College, Cuttack, U.D.C.T., Bombay University, Mumbai, Utkal University, Bhubaneswar and Selly Oak College, Birmingham, U.K.",87,50,0,63,95%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,68.1,0.7,301,77%
